date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200101,14,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,14,AQI,59.0,61.0,56.0,61.0,51.0,55.0,56.0,65.0,,51.0,51.0,65.0,55.0,53.0,53.0,44.0,29.0,66.0,53.0,44.0,53.0,16.0,78.0,65.0,86.0,21.0,34.0,62.0,68.0,55.0,55.0,71.0,58.0,61.0,59.0
20200101,15,PM2.5,42.0,43.0,39.0,45.0,37.0,32.0,43.0,45.0,,47.0,26.0,45.0,35.0,41.0,36.0,30.0,26.0,46.0,39.0,30.0,26.0,9.0,54.0,45.0,62.0,16.0,26.0,40.0,42.0,29.0,42.0,47.0,39.0,39.0,26.0
20200101,15,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,15,PM10,56.0,59.0,49.0,58.0,57.0,56.0,62.0,69.0,,55.0,64.0,62.0,65.0,62.0,51.0,40.0,29.0,61.0,58.0,38.0,39.0,18.0,72.0,71.0,78.0,,,62.0,91.0,57.0,44.0,54.0,49.0,73.0,61.0
20200101,15,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,15,AQI,59.0,60.0,55.0,63.0,54.0,53.0,60.0,63.0,,65.0,57.0,63.0,58.0,58.0,51.0,43.0,37.0,64.0,55.0,43.0,39.0,18.0,74.0,63.0,84.0,23.0,37.0,56.0,71.0,54.0,59.0,65.0,55.0,62.0,56.0
20200101,16,PM2.5,37.0,42.0,44.0,45.0,41.0,33.0,46.0,40.0,,39.0,29.0,43.0,36.0,40.0,32.0,29.0,25.0,47.0,44.0,43.0,23.0,9.0,61.0,37.0,61.0,16.0,25.0,44.0,40.0,36.0,43.0,47.0,37.0,38.0,25.0
20200101,16,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,16,PM10,65.0,65.0,64.0,65.0,61.0,53.0,64.0,70.0,,63.0,55.0,65.0,66.0,63.0,47.0,45.0,,57.0,64.0,70.0,40.0,21.0,83.0,64.0,81.0,19.0,48.0,69.0,108.0,57.0,48.0,56.0,53.0,68.0,61.0
